eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2044.32,27.08,111,7.491414e-05,0.0013020834,0.1902746,-0.0017931076,0.0024340535,0.9470856375992298,3488,446464,8531.962063034996,892928
2044.32,27.08,113,0.0006996089,0.033854168,0.38122162,-0.00572311,0.0050816587,0.878233402967453,3489,446592,8534.21414953898,893184
2044.32,27.08,112,0.0002631424,0.013020833,0.2275011,-0.002571583,0.003649368,0.9446221366524696,3490,446720,8536.486606953986,893440
2044.32,27.08,110,0.0014411681,0.063802086,0.26121292,-0.0051405667,0.00100695,0.9795585498213768,3491,446848,8538.798651474004,893696
2044.32,27.08,110,0.00070878933,0.026041666,0.24475902,-0.0030120388,0.0013291339,0.974104356020689,3492,446976,8541.115161166003,893952
2044.32,27.08,113,0.000121254016,0.00390625,0.16491593,-0.0013605108,0.0013091663,0.9741788189858198,3493,447104,8543.382734765997,894208
2044.32,27.08,112,0.00032099462,0.010416667,0.29790792,-0.003511803,0.002272079,0.9533544555306435,3494,447232,8545.65063679,894464
2044.32,27.08,112,0.00032507762,0.018229166,0.27161703,-0.0028058316,0.0016725069,0.9693585000932217,3495,447360,8547.920599014993,894720
2044.32,27.08,112,0.000744675,0.045572918,0.31116715,-0.0037097875,0.004300178,0.9430317878723145,3496,447488,8550.200646165991,894976
2044.32,27.08,111,0.0002443591,0.010416667,0.24745905,-0.003209591,0.002022979,0.969076182693243,3497,447616,8552.49899598799,895232
2044.28,27.13,105,0.00023042141,0.013020833,0.26440102,-0.0020504359,0.023316301,0.7848659753799438,3498,447744,8554.917325218994,895488
2044.28,27.13,112,0.000107427215,0.0013020834,0.2462697,-0.0013125712,0.0025364493,0.9487316459417343,3499,447872,8557.203919093998,895744
2044.28,27.13,110,0.00019122212,0.0078125,0.31732568,-0.0026234153,0.0019039925,0.9574983194470406,3500,448000,8559.522592353984,896000
2044.28,27.13,113,0.0002922497,0.01171875,0.2709684,-0.002581796,0.0015318686,0.9670542627573013,3501,448128,8561.78402657999,896256
2044.28,27.13,113,0.00055641204,0.028645834,0.26410088,-0.0027767841,0.001490694,0.9641793146729469,3502,448256,8564.044809532992,896512
2044.28,27.13,111,0.00046446142,0.024739584,0.36608258,-0.0052645574,0.0019543897,0.9641256891191006,3503,448384,8566.349182373,896768
2044.28,27.13,111,0.0006802413,0.04296875,0.281139,-0.0033109486,0.001975985,0.9600974097847939,3504,448512,8568.645184969006,897024
2044.28,27.13,101,0.00018925214,0.010416667,0.4095124,-0.0021205177,0.0057824086,0.8685848116874695,3505,448640,8571.179499218997,897280
2044.28,27.13,86,0.00023173697,0.0078125,0.2709417,-0.0033676142,0.002384105,0.9531593434512615,3506,448768,8574.140185678,897536
2044.28,27.13,108,7.300289e-05,0.0026041667,0.23891228,-0.001494558,0.0010288694,0.9793322775512934,3507,448896,8576.500957919983,897792
2044.28,27.13,112,0.0004974354,0.02734375,0.26643273,-0.005471743,0.0015558302,0.9720291271805763,3508,449024,8578.78065214798,898048
